candidate_id,name,skills,experience_years,education
1,Candidate_1,"AWS, CI/CD, Docker, Machine Learning",9,PhD
2,Candidate_2,"C++, CI/CD, ETL, Data Analysis, AWS, Java",1,PhD
3,Candidate_3,"CSS, Docker, JavaScript, ETL, Machine Learning, Node.js",9,Master
4,Candidate_4,"PyTorch, Kubernetes, CI/CD",1,Bachelor
5,Candidate_5,"Kubernetes, Microservices, Machine Learning, Docker, TensorFlow",3,PhD
6,Candidate_6,"Microservices, Data Analysis, Excel, React, JavaScript",1,Master
7,Candidate_7,"Spring Boot, PowerBI, Deep Learning",10,Bachelor
8,Candidate_8,"Data Analysis, DevOps, Node.js, Excel, SQL",12,Bachelor
9,Candidate_9,"JavaScript, TensorFlow, Microservices, Excel",1,Master
10,Candidate_10,"Docker, Deep Learning, PowerBI, DevOps, JavaScript",2,Master
11,Candidate_11,"Excel, Python, Node.js",9,Bachelor
12,Candidate_12,"PyTorch, PowerBI, CI/CD, AWS",8,PhD
13,Candidate_13,"PowerBI, Data Analysis, C++, CSS, Docker, Microservices",11,Master
14,Candidate_14,"Data Analysis, Excel, JavaScript, SQL",1,Master
15,Candidate_15,"Java, AWS, Kubernetes",9,PhD
16,Candidate_16,"CSS, Python, PowerBI, Excel, Deep Learning",3,Master
17,Candidate_17,"CSS, Kubernetes, Microservices, Deep Learning, AWS, React",9,PhD
18,Candidate_18,"Kubernetes, C++, CI/CD, ETL, NLP, Java",7,Master
19,Candidate_19,"JavaScript, Docker, Microservices",1,PhD
20,Candidate_20,"ETL, Machine Learning, Excel, Data Analysis, SQL",2,PhD
21,Candidate_21,"CSS, CI/CD, ETL",12,PhD
22,Candidate_22,"Deep Learning, JavaScript, C++",7,PhD
23,Candidate_23,"React, DevOps, TensorFlow, Excel",10,Master
24,Candidate_24,"Python, React, NLP",10,PhD
25,Candidate_25,"AWS, JavaScript, ETL, CI/CD",2,Master
26,Candidate_26,"PowerBI, CI/CD, ETL",7,Master
27,Candidate_27,"TensorFlow, ETL, CSS, HTML, AWS, Python",1,Bachelor
28,Candidate_28,"Node.js, React, Deep Learning, Data Analysis, SQL",9,Master
29,Candidate_29,"Python, Deep Learning, Data Analysis",8,PhD
30,Candidate_30,"Node.js, Data Analysis, Microservices, Spring Boot, AWS",9,PhD
31,Candidate_31,"Kubernetes, NLP, JavaScript",2,PhD
32,Candidate_32,"Deep Learning, NLP, SQL",6,Bachelor
33,Candidate_33,"ETL, PyTorch, JavaScript, React, CI/CD",11,Master
34,Candidate_34,"Spring Boot, CI/CD, PowerBI, Data Analysis, JavaScript, Microservices",6,PhD
35,Candidate_35,"CSS, TensorFlow, JavaScript, PowerBI, Machine Learning, Python",5,PhD
36,Candidate_36,"HTML, JavaScript, Java",9,Bachelor
37,Candidate_37,"AWS, C++, TensorFlow",3,PhD
38,Candidate_38,"Spring Boot, AWS, Deep Learning, JavaScript",2,Master
39,Candidate_39,"TensorFlow, React, DevOps, Microservices",7,PhD
40,Candidate_40,"PyTorch, PowerBI, Excel, React",1,PhD
41,Candidate_41,"Docker, PowerBI, NLP, CI/CD",4,Master
42,Candidate_42,"Machine Learning, SQL, CSS",1,Bachelor
43,Candidate_43,"Java, PyTorch, Python",8,PhD
